Time.ms,cue_type,trial_type,value_cat,experiment,m_prop_looking
833,name,disambiguation,Distractor,e1,0.3448275862068966
833,name,disambiguation,Target,e1,0.6551724137931034
833,name,familiar,Distractor,e1,0.31851851851851853
833,name,familiar,Target,e1,0.6814814814814815
833,onomatopoeic,familiar,Distractor,e1,0.3865546218487395
833,onomatopoeic,familiar,Target,e1,0.6134453781512605
833,vocalization,disambiguation,Distractor,e1,0.4056603773584906
833,vocalization,disambiguation,Distractor,e2,0.3969465648854962
833,vocalization,disambiguation,Target,e1,0.5943396226415094
833,vocalization,disambiguation,Target,e2,0.6030534351145038
833,vocalization,familiar,Distractor,e1,0.39565217391304347
833,vocalization,familiar,Distractor,e2,0.32684824902723736
833,vocalization,familiar,Target,e1,0.6043478260869565
833,vocalization,familiar,Target,e2,0.6731517509727627
833,vocalization,retention,Distractor,e2,0.525
833,vocalization,retention,Target,e2,0.475
867,name,disambiguation,Distractor,e1,0.3372093023255814
867,name,disambiguation,Target,e1,0.6627906976744186
867,name,familiar,Distractor,e1,0.3157894736842105
867,name,familiar,Target,e1,0.6842105263157895
867,onomatopoeic,familiar,Distractor,e1,0.39166666666666666
867,onomatopoeic,familiar,Target,e1,0.6083333333333333
867,vocalization,disambiguation,Distractor,e1,0.4056603773584906
867,vocalization,disambiguation,Distractor,e2,0.40298507462686567
867,vocalization,disambiguation,Target,e1,0.5943396226415094
867,vocalization,disambiguation,Target,e2,0.5970149253731343
867,vocalization,familiar,Distractor,e1,0.3930131004366812
867,vocalization,familiar,Distractor,e2,0.3333333333333333
867,vocalization,familiar,Target,e1,0.6069868995633187
867,vocalization,familiar,Target,e2,0.6666666666666666
867,vocalization,retention,Distractor,e2,0.5365853658536586
867,vocalization,retention,Target,e2,0.4634146341463415
900,name,disambiguation,Distractor,e1,0.313953488372093
900,name,disambiguation,Target,e1,0.686046511627907
900,name,familiar,Distractor,e1,0.3208955223880597
900,name,familiar,Target,e1,0.6791044776119403
900,onomatopoeic,familiar,Distractor,e1,0.3865546218487395
900,onomatopoeic,familiar,Target,e1,0.6134453781512605
900,vocalization,disambiguation,Distractor,e1,0.40186915887850466
900,vocalization,disambiguation,Distractor,e2,0.39097744360902253
900,vocalization,disambiguation,Target,e1,0.5981308411214953
