Sub.Num,Time.ms,cue_type,trial_type,value_cat,experiment,m_prop_looking
23444,1067,vocalization,disambiguation,Distractor,experiment_2_retention,0
23444,1067,vocalization,disambiguation,Target,experiment_2_retention,1
23444,1067,vocalization,familiar,Distractor,experiment_2_retention,0.38461538461538464
23444,1067,vocalization,familiar,Target,experiment_2_retention,0.6153846153846154
23444,1067,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1067,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1100,vocalization,disambiguation,Distractor,experiment_2_retention,0
23444,1100,vocalization,disambiguation,Target,experiment_2_retention,1
23444,1100,vocalization,familiar,Distractor,experiment_2_retention,0.3333333333333333
23444,1100,vocalization,familiar,Target,experiment_2_retention,0.6666666666666666
23444,1100,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1100,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1133,vocalization,disambiguation,Distractor,experiment_2_retention,0
23444,1133,vocalization,disambiguation,Target,experiment_2_retention,1
23444,1133,vocalization,familiar,Distractor,experiment_2_retention,0.3333333333333333
23444,1133,vocalization,familiar,Target,experiment_2_retention,0.6666666666666666
23444,1133,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1133,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1167,vocalization,disambiguation,Distractor,experiment_2_retention,0
23444,1167,vocalization,disambiguation,Target,experiment_2_retention,1
23444,1167,vocalization,familiar,Distractor,experiment_2_retention,0.3333333333333333
23444,1167,vocalization,familiar,Target,experiment_2_retention,0.6666666666666666
23444,1167,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1167,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1200,vocalization,disambiguation,Distractor,experiment_2_retention,0
23444,1200,vocalization,disambiguation,Target,experiment_2_retention,1
23444,1200,vocalization,familiar,Distractor,experiment_2_retention,0.3076923076923077
23444,1200,vocalization,familiar,Target,experiment_2_retention,0.6923076923076923
23444,1200,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1200,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1233,vocalization,disambiguation,Distractor,experiment_2_retention,0
23444,1233,vocalization,disambiguation,Target,experiment_2_retention,1
23444,1233,vocalization,familiar,Distractor,experiment_2_retention,0.3333333333333333
23444,1233,vocalization,familiar,Target,experiment_2_retention,0.6666666666666666
23444,1233,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1233,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1267,vocalization,disambiguation,Distractor,experiment_2_retention,0
23444,1267,vocalization,disambiguation,Target,experiment_2_retention,1
23444,1267,vocalization,familiar,Distractor,experiment_2_retention,0.2727272727272727
23444,1267,vocalization,familiar,Target,experiment_2_retention,0.7272727272727273
23444,1267,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1267,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1300,vocalization,disambiguation,Distractor,experiment_2_retention,0
23444,1300,vocalization,disambiguation,Target,experiment_2_retention,1
23444,1300,vocalization,familiar,Distractor,experiment_2_retention,0.2727272727272727
23444,1300,vocalization,familiar,Target,experiment_2_retention,0.7272727272727273
23444,1300,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1300,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1333,vocalization,disambiguation,Distractor,experiment_2_retention,0
23444,1333,vocalization,disambiguation,Target,experiment_2_retention,1
23444,1333,vocalization,familiar,Distractor,experiment_2_retention,0.2727272727272727
23444,1333,vocalization,familiar,Target,experiment_2_retention,0.7272727272727273
23444,1333,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1333,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1367,vocalization,disambiguation,Distractor,experiment_2_retention,0
23444,1367,vocalization,disambiguation,Target,experiment_2_retention,1
23444,1367,vocalization,familiar,Distractor,experiment_2_retention,0.25
23444,1367,vocalization,familiar,Target,experiment_2_retention,0.75
23444,1367,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1367,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1400,vocalization,disambiguation,Distractor,experiment_2_retention,0
23444,1400,vocalization,disambiguation,Target,experiment_2_retention,1
23444,1400,vocalization,familiar,Distractor,experiment_2_retention,0.25
23444,1400,vocalization,familiar,Target,experiment_2_retention,0.75
23444,1400,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1400,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1433,vocalization,disambiguation,Distractor,experiment_2_retention,0
23444,1433,vocalization,disambiguation,Target,experiment_2_retention,1
23444,1433,vocalization,familiar,Distractor,experiment_2_retention,0.3076923076923077
23444,1433,vocalization,familiar,Target,experiment_2_retention,0.6923076923076923
23444,1433,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1433,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1467,vocalization,disambiguation,Distractor,experiment_2_retention,0
23444,1467,vocalization,disambiguation,Target,experiment_2_retention,1
23444,1467,vocalization,familiar,Distractor,experiment_2_retention,0.3076923076923077
23444,1467,vocalization,familiar,Target,experiment_2_retention,0.6923076923076923
23444,1467,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1467,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1500,vocalization,disambiguation,Distractor,experiment_2_retention,0
23444,1500,vocalization,disambiguation,Target,experiment_2_retention,1
23444,1500,vocalization,familiar,Distractor,experiment_2_retention,0.3333333333333333
23444,1500,vocalization,familiar,Target,experiment_2_retention,0.6666666666666666
23444,1500,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1500,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1533,vocalization,disambiguation,Distractor,experiment_2_retention,0.14285714285714285
23444,1533,vocalization,disambiguation,Target,experiment_2_retention,0.8571428571428571
23444,1533,vocalization,familiar,Distractor,experiment_2_retention,0.3333333333333333
23444,1533,vocalization,familiar,Target,experiment_2_retention,0.6666666666666666
23444,1533,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1533,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1567,vocalization,disambiguation,Distractor,experiment_2_retention,0.14285714285714285
23444,1567,vocalization,disambiguation,Target,experiment_2_retention,0.8571428571428571
23444,1567,vocalization,familiar,Distractor,experiment_2_retention,0.3333333333333333
23444,1567,vocalization,familiar,Target,experiment_2_retention,0.6666666666666666
23444,1567,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1567,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1600,vocalization,disambiguation,Distractor,experiment_2_retention,0.14285714285714285
23444,1600,vocalization,disambiguation,Target,experiment_2_retention,0.8571428571428571
23444,1600,vocalization,familiar,Distractor,experiment_2_retention,0.3333333333333333
23444,1600,vocalization,familiar,Target,experiment_2_retention,0.6666666666666666
23444,1600,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1600,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1633,vocalization,disambiguation,Distractor,experiment_2_retention,0.14285714285714285
23444,1633,vocalization,disambiguation,Target,experiment_2_retention,0.8571428571428571
23444,1633,vocalization,familiar,Distractor,experiment_2_retention,0.3333333333333333
23444,1633,vocalization,familiar,Target,experiment_2_retention,0.6666666666666666
23444,1633,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1633,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1667,vocalization,disambiguation,Distractor,experiment_2_retention,0.14285714285714285
23444,1667,vocalization,disambiguation,Target,experiment_2_retention,0.8571428571428571
23444,1667,vocalization,familiar,Distractor,experiment_2_retention,0.3333333333333333
23444,1667,vocalization,familiar,Target,experiment_2_retention,0.6666666666666666
23444,1667,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1667,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1700,vocalization,disambiguation,Distractor,experiment_2_retention,0.14285714285714285
23444,1700,vocalization,disambiguation,Target,experiment_2_retention,0.8571428571428571
23444,1700,vocalization,familiar,Distractor,experiment_2_retention,0.3333333333333333
23444,1700,vocalization,familiar,Target,experiment_2_retention,0.6666666666666666
23444,1700,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1700,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1733,vocalization,disambiguation,Distractor,experiment_2_retention,0.14285714285714285
23444,1733,vocalization,disambiguation,Target,experiment_2_retention,0.8571428571428571
23444,1733,vocalization,familiar,Distractor,experiment_2_retention,0.3333333333333333
23444,1733,vocalization,familiar,Target,experiment_2_retention,0.6666666666666666
23444,1733,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1733,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1767,vocalization,disambiguation,Distractor,experiment_2_retention,0.16666666666666666
23444,1767,vocalization,disambiguation,Target,experiment_2_retention,0.8333333333333334
23444,1767,vocalization,familiar,Distractor,experiment_2_retention,0.2
23444,1767,vocalization,familiar,Target,experiment_2_retention,0.8
23444,1767,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1767,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1800,vocalization,disambiguation,Distractor,experiment_2_retention,0.16666666666666666
23444,1800,vocalization,disambiguation,Target,experiment_2_retention,0.8333333333333334
23444,1800,vocalization,familiar,Distractor,experiment_2_retention,0.2
23444,1800,vocalization,familiar,Target,experiment_2_retention,0.8
23444,1800,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1800,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1833,vocalization,disambiguation,Distractor,experiment_2_retention,0.16666666666666666
23444,1833,vocalization,disambiguation,Target,experiment_2_retention,0.8333333333333334
23444,1833,vocalization,familiar,Distractor,experiment_2_retention,0.2
23444,1833,vocalization,familiar,Target,experiment_2_retention,0.8
23444,1833,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1833,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1867,vocalization,disambiguation,Distractor,experiment_2_retention,0.2857142857142857
23444,1867,vocalization,disambiguation,Target,experiment_2_retention,0.7142857142857143
23444,1867,vocalization,familiar,Distractor,experiment_2_retention,0.18181818181818182
23444,1867,vocalization,familiar,Target,experiment_2_retention,0.8181818181818182
23444,1867,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1867,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1900,vocalization,disambiguation,Distractor,experiment_2_retention,0.2857142857142857
23444,1900,vocalization,disambiguation,Target,experiment_2_retention,0.7142857142857143
23444,1900,vocalization,familiar,Distractor,experiment_2_retention,0.16666666666666666
23444,1900,vocalization,familiar,Target,experiment_2_retention,0.8333333333333334
23444,1900,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1900,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1933,vocalization,disambiguation,Distractor,experiment_2_retention,0.2857142857142857
23444,1933,vocalization,disambiguation,Target,experiment_2_retention,0.7142857142857143
23444,1933,vocalization,familiar,Distractor,experiment_2_retention,0.16666666666666666
23444,1933,vocalization,familiar,Target,experiment_2_retention,0.8333333333333334
23444,1933,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1933,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1967,vocalization,disambiguation,Distractor,experiment_2_retention,0.2857142857142857
23444,1967,vocalization,disambiguation,Target,experiment_2_retention,0.7142857142857143
23444,1967,vocalization,familiar,Distractor,experiment_2_retention,0.16666666666666666
23444,1967,vocalization,familiar,Target,experiment_2_retention,0.8333333333333334
23444,1967,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1967,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,2e3,vocalization,disambiguation,Distractor,experiment_2_retention,0.2857142857142857
23444,2e3,vocalization,disambiguation,Target,experiment_2_retention,0.7142857142857143
23444,2e3,vocalization,familiar,Distractor,experiment_2_retention,0.25
23444,2e3,vocalization,familiar,Target,experiment_2_retention,0.75
23444,2e3,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,2e3,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,2033,vocalization,disambiguation,Distractor,experiment_2_retention,0.3333333333333333
23444,2033,vocalization,disambiguation,Target,experiment_2_retention,0.6666666666666666
23444,2033,vocalization,familiar,Distractor,experiment_2_retention,0.25
23444,2033,vocalization,familiar,Target,experiment_2_retention,0.75
23444,2033,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,2033,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,2067,vocalization,disambiguation,Distractor,experiment_2_retention,0.3333333333333333
23444,2067,vocalization,disambiguation,Target,experiment_2_retention,0.6666666666666666
23444,2067,vocalization,familiar,Distractor,experiment_2_retention,0.25
23444,2067,vocalization,familiar,Target,experiment_2_retention,0.75
23444,2067,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,2067,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,2100,vocalization,disambiguation,Distractor,experiment_2_retention,0.3333333333333333
23444,2100,vocalization,disambiguation,Target,experiment_2_retention,0.6666666666666666
23444,2100,vocalization,familiar,Distractor,experiment_2_retention,0.18181818181818182
23444,2100,vocalization,familiar,Target,experiment_2_retention,0.8181818181818182
23444,2100,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,2100,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
